Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL4467499,Cc1ccc(S(=O)(=O)Oc2ccc(-c3ccc4sccc4c3)cc2)cc1,IC50,3300,nM
CHEMBL1643,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,IC50,,
CHEMBL115769,COc1cc(N)[nH]c2nc(-c3ccc(F)cc3)c(-c3ccncc3)c1-2,IC50,,
CHEMBL176495,NNc1ccccc1S(N)(=O)=O,IC50,80,nM
CHEMBL1099124,COCCCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1ccccc1,IC50,48,nM
CHEMBL120917,CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CC[C@@]2(COS(N)(=O)=O)O1,IC50,130,nM
CHEMBL555542,Cl.NS(=O)(=O)c1cc2cc(CNCCCCO)sc2s1,IC50,3,nM
CHEMBL4764100,CN1CCN(C(=S)SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)CC1,IC50,28,nM
CHEMBL540835,Cl.NS(=O)(=O)c1cc(C(=O)c2ccc(CNCc3ccccc3)cc2)cs1,IC50,2.4,nM
CHEMBL542219,CCN(CC)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,IC50,7,nM
CHEMBL32189,NCc1ccccn1,IC50,,
CHEMBL590825,NCc1ccccn1.NS(=O)(=O)c1cc(C(=O)O)c(Cl)cc1Cl,IC50,220,nM
CHEMBL1766,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,IC50,,
CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,IC50,,
CHEMBL352218,NS(=O)(=O)c1cc2c(s1)C(O)CCS2,IC50,23,nM
CHEMBL445982,CCOC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)c1ccccc1,IC50,40,nM
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,10,nM
CHEMBL44173,CCCCCCC(=O)c1csc(S(N)(=O)=O)c1,IC50,5,nM
CHEMBL419,NCc1ccc(S(N)(=O)=O)cc1,IC50,4000,nM
CHEMBL52944,NS(=O)(=O)c1cc2cc(CN3CC[S+]([O-])CC3)sc2s1,IC50,4,nM
CHEMBL1191,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,IC50,,
CHEMBL1220,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,IC50,,
CHEMBL29292,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,IC50,,
CHEMBL86754,Oc1c(I)cc(I)c2cccnc12,IC50,,
CHEMBL319244,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,IC50,,
CHEMBL26260,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,IC50,,
CHEMBL338802,N=C(N)NS(=O)(=O)c1ccc(N)cc1,IC50,100000,nM
CHEMBL282157,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,IC50,400,nM
CHEMBL266240,Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,IC50,96,nM
CHEMBL6633,Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,IC50,89,nM
CHEMBL1387347,NS(=O)(=O)c1cc(C(=O)NCCOc2ccccc2)c(Cl)cc1Cl,IC50,10.58,nM
